GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000197530	1	1550795	1565990	1	1	46350	-0.5461	0.7075	MIB2
ENSG00000189339	1	1592939	1624167	28	2	46350	-0.085213	0.53395	SLC35E2B
ENSG00000008128	1	1634169	1655766	100	4	46350	-1.1009	0.86453	CDK11A
ENSG00000215790	1	1656277	1677431	73	5	46350	-1.6563	0.95117	SLC35E2
ENSG00000008130	1	1682671	1711896	73	8	46350	-2.1996	0.98608	NADK
ENSG00000078369	1	1716729	1822495	150	13	46350	-1.7615	0.96092	GNB1
ENSG00000169885	1	1846266	1848735	11	3	46350	0.36463	0.35769	CALML6
ENSG00000178821	1	1849029	1850712	6	2	46350	0.29835	0.38272	TMEM52
ENSG00000142609	1	1853396	1935276	361	20	46350	1.1887	0.11728	C1orf222
ENSG00000187730	1	1950780	1962192	19	3	46350	1.357	0.087391	GABRD
ENSG00000067606	1	1981909	2116834	435	24	46350	-0.68374	0.75293	PRKCZ
ENSG00000162585	1	2115903	2144159	55	10	46350	0.62535	0.26587	C1orf86
ENSG00000269554	1	2121237	2123179	4	2	46350	0.26234	0.39653	AL590822.2
ENSG00000203301	1	2143360	2145620	6	3	46350	1.3966	0.081266	AL590822.1
ENSG00000157933	1	2160134	2241558	214	32	46350	0.98106	0.16328	SKI
ENSG00000116151	1	2252692	2323146	263	24	46350	0.0022958	0.49908	MORN1
ENSG00000269753	1	2258581	2259042	2	1	46350	-0.47997	0.68437	AL589739.1
ENSG00000157916	1	2323267	2336883	33	8	46350	-0.40529	0.65737	RER1
ENSG00000157911	1	2336236	2345236	20	6	46350	-0.34946	0.63663	PEX10
ENSG00000149527	1	2357419	2436969	141	19	46350	1.7642	0.038847	PLCH2
ENSG00000157881	1	2439972	2458039	41	5	46350	0.038207	0.48476	PANK4
ENSG00000197921	1	2460184	2461684	3	2	46350	1.4452	0.074197	HES5
ENSG00000157873	1	2487078	2496821	23	4	46350	2.3796	0.0086651	TNFRSF14
ENSG00000157870	1	2517930	2522908	10	3	46350	1.6356	0.050959	FAM213B
ENSG00000142606	1	2522078	2564481	179	8	46350	1.6154	0.053108	MMEL1
ENSG00000215912	1	2567415	2718286	361	18	46350	2.0231	0.021532	TTC34
ENSG00000169717	1	2938046	2939465	4	1	46350	0.38726	0.34928	ACTRT2
ENSG00000142611	1	2985732	3355185	1247	128	46350	0.64566	0.25925	PRDM16
ENSG00000130762	1	3370990	3397677	88	8	46350	0.97731	0.16421	ARHGEF16
ENSG00000162591	1	3406484	3528059	153	29	46350	-1.8095	0.96481	MEGF6
ENSG00000158109	1	3541566	3546691	15	4	46350	-1.5196	0.93569	TPRG1L
ENSG00000116213	1	3547331	3569325	51	10	46350	0.10181	0.45945	WRAP73
ENSG00000078900	1	3569084	3652765	236	37	46350	-1.0617	0.85581	TP73
ENSG00000162592	1	3668962	3688209	69	12	46350	-1.2571	0.89563	CCDC27
ENSG00000235169	1	3689352	3692546	15	5	46350	-1.3388	0.90969	SMIM1
ENSG00000130764	1	3696784	3713068	77	12	46350	-0.78587	0.78403	LRRC47
ENSG00000116198	1	3728645	3773778	319	16	46350	-1.6497	0.9505	CEP104
ENSG00000169598	1	3773845	3801993	156	17	46350	-0.94229	0.82698	DFFB
ENSG00000198912	1	3805689	3816857	43	6	46350	-0.49356	0.68919	C1orf174
ENSG00000196581	1	4714792	4852594	720	82	46350	-0.52919	0.70166	AJAP1
ENSG00000131697	1	5922871	6052533	442	21	46350	0.63812	0.2617	NPHP4
ENSG00000069424	1	6051526	6161253	351	46	46350	0.98313	0.16277	KCNAB2
ENSG00000268332	1	6100630	6101399	4	2	46350	-0.73335	0.76833	AL035406.1
ENSG00000116254	1	6161853	6240183	328	29	46350	-0.50973	0.69488	CHD5
ENSG00000116251	1	6241329	6269449	72	12	46350	1.6409	0.05041	RPL22
ENSG00000158286	1	6265535	6281359	40	5	46350	0.37093	0.35534	RNF207
ENSG00000116237	1	6281253	6296032	28	4	46350	-0.77177	0.77988	ICMT
ENSG00000173673	1	6304252	6305638	4	1	46350	1.1638	0.12226	HES3
ENSG00000158292	1	6307406	6321035	37	2	46350	0.88815	0.18723	GPR153
ENSG00000097021	1	6324329	6454451	429	21	46350	-0.61624	0.73113	ACOT7
ENSG00000069812	1	6472478	6484730	46	7	46350	-0.67106	0.74891	HES2
ENSG00000187017	1	6484848	6521430	116	10	46350	-2.0382	0.97923	ESPN
ENSG00000215788	1	6521211	6526255	12	3	46350	-1.0331	0.84922	TNFRSF25
ENSG00000171680	1	6526152	6580121	154	23	46350	0.78023	0.21763	PLEKHG5
ENSG00000162408	1	6581407	6614595	138	4	46350	0.87312	0.1913	NOL9
ENSG00000173662	1	6615241	6639817	44	7	46350	1.1019	0.13526	TAS1R1
ENSG00000204859	1	6640061	6649340	15	6	46350	1.351	0.088349	ZBTB48
ENSG00000162413	1	6650784	6674667	49	10	46350	0.59501	0.27592	KLHL21
ENSG00000116273	1	6673745	6684093	25	5	46350	0.48676	0.31321	PHF13
ENSG00000041988	1	6684926	6695646	34	6	46350	0.19196	0.42389	THAP3
ENSG00000007923	1	6694228	6761984	170	18	46350	0.3885	0.34882	DNAJC11
ENSG00000171735	1	6845384	7829766	3087	194	46350	0.34669	0.36441	CAMTA1
ENSG00000049245	1	7831329	7841492	38	9	46350	0.93038	0.17609	VAMP3
ENSG00000049246	1	7844380	7905237	263	21	46350	-0.039135	0.51561	PER3
ENSG00000049247	1	7903143	7913572	47	13	46350	-0.85321	0.80323	UTS2
ENSG00000049249	1	7979907	8000926	48	7	46350	-1.5125	0.93479	TNFRSF9
ENSG00000116288	1	8014351	8045565	73	10	46350	0.5243	0.30003	PARK7
ENSG00000116285	1	8064464	8086368	40	7	46350	-0.65929	0.74515	ERRFI1
ENSG00000162426	1	8377886	8404227	93	14	46350	-1.4322	0.92396	SLC45A1
ENSG00000142599	1	8412457	8877702	876	25	46350	2.2899	0.011014	RERE
ENSG00000074800	1	8921061	8939308	36	6	46350	1.2434	0.10686	ENO1
ENSG00000131686	1	9005926	9035151	138	26	46350	-0.17522	0.56955	CA6
ENSG00000197241	1	9063359	9086404	78	17	46350	1.3532	0.088	SLC2A7
ENSG00000142583	1	9095166	9148537	236	27	46350	0.6816	0.24775	SLC2A5
ENSG00000180758	1	9160364	9189229	82	9	46350	-0.70717	0.76027	GPR157
ENSG00000049239	1	9294834	9331396	117	18	46350	-0.51968	0.69836	H6PD
ENSG00000171621	1	9352939	9429591	401	52	46350	0.73046	0.23256	SPSB1
ENSG00000171612	1	9599541	9645237	72	10	46350	-0.91147	0.81898	SLC25A33
ENSG00000188807	1	9648932	9674935	39	6	46350	-0.62708	0.7347	TMEM201
ENSG00000171608	1	9711790	9789172	157	28	46350	-0.058869	0.52347	PIK3CD
ENSG00000179840	1	9712668	9714644	5	1	46350	-0.19577	0.5776	C1orf200
ENSG00000171603	1	9789084	9884584	146	14	46350	0.049896	0.4801	CLSTN1
ENSG00000178585	1	9908334	9970394	69	10	46350	-0.0010526	0.50042	CTNNBIP1
ENSG00000162441	1	9982173	10003465	56	9	46350	-0.98676	0.83812	LZIC
ENSG00000173614	1	10003486	10045559	93	12	46350	-0.40644	0.65779	NMNAT1
ENSG00000162444	1	10057264	10076078	49	6	46350	-0.072711	0.52898	RBP7
ENSG00000130939	1	10092890	10241297	357	17	46350	0.28494	0.38785	UBE4B
ENSG00000054523	1	10270863	10441661	641	17	46350	0.19613	0.42226	KIF1B
ENSG00000142657	1	10458649	10480201	57	7	46350	0.80193	0.2113	PGD
ENSG00000251503	1	10490159	10512210	70	6	46350	-0.81866	0.79351	APITD1-CORT
ENSG00000175279	1	10490159	10512210	70	6	46350	-0.81866	0.79351	APITD1
ENSG00000241563	1	10509776	10511959	4	2	46350	-0.15614	0.56204	CORT
ENSG00000160049	1	10516579	10532583	31	6	46350	-1.3454	0.91076	DFFA
ENSG00000142655	1	10532345	10690815	416	26	46350	-1.4326	0.92401	PEX14
ENSG00000130940	1	10696661	10856707	384	56	46350	-0.61186	0.72969	CASZ1
ENSG00000175262	1	11006528	11042094	128	14	46350	-0.92397	0.82225	C1orf127
ENSG00000120948	1	11072414	11085796	32	3	46350	1.4234	0.077306	TARDBP
ENSG00000009724	1	11086580	11107290	57	6	46350	1.976	0.024079	MASP2
ENSG00000116649	1	11114641	11120081	10	3	46350	2.5158	0.0059382	SRM
ENSG00000171824	1	11126675	11159938	109	6	46350	2.4144	0.007881	EXOSC10
ENSG00000198793	1	11166592	11322564	361	8	46350	2.2347	0.012718	MTOR
ENSG00000171819	1	11249398	11256038	16	3	46350	1.6854	0.045956	ANGPTL7
ENSG00000120942	1	11333263	11356106	37	4	46350	0.93503	0.17489	UBIAD1
ENSG00000204624	1	11539223	11597641	161	15	46350	0.534	0.29667	PTCHD2
ENSG00000116661	1	11708424	11715842	15	6	46350	-0.72646	0.76622	FBXO2
ENSG00000132879	1	11714432	11723384	28	8	46350	-0.65128	0.74257	FBXO44
ENSG00000116663	1	11724181	11734411	46	8	46350	0.069255	0.47239	FBXO6
ENSG00000116670	1	11734537	11751707	65	12	46350	0.12148	0.45166	MAD2L2
ENSG00000162490	1	11751786	11785914	107	17	46350	0.45596	0.32421	DRAXIN
ENSG00000177674	1	11796141	11814859	47	6	46350	1.5491	0.060681	AGTRAP
ENSG00000215910	1	11821844	11849642	176	11	46350	1.2377	0.10791	C1orf167
ENSG00000177000	1	11845780	11866977	93	11	46350	1.6332	0.051212	MTHFR
ENSG00000011021	1	11866207	11903201	227	15	46350	1.8715	0.03064	CLCN6
ENSG00000175206	1	11905766	11908402	18	4	46350	1.4778	0.069733	NPPA
ENSG00000120937	1	11917521	11918988	2	1	46350	-0.53767	0.7046	NPPB
ENSG00000116685	1	11979648	11986485	25	7	46350	-0.45461	0.67531	KIAA2013
ENSG00000083444	1	11994262	12035595	124	11	46350	-1.2249	0.8897	PLOD1
ENSG00000116688	1	12040238	12073571	103	9	46350	-0.82572	0.79552	MFN2
ENSG00000116691	1	12079523	12092102	23	5	46350	-3.0633	0.99891	MIIP
ENSG00000120949	1	12123434	12204264	211	33	46350	-0.29843	0.61731	TNFRSF8
ENSG00000028137	1	12227060	12269285	145	15	46350	-1.097	0.86369	TNFRSF1B
ENSG00000048707	1	12290124	12572099	379	25	46350	-1.2026	0.88543	VPS13D
ENSG00000162496	1	12627939	12677737	182	30	46350	-0.74325	0.77133	DHRS3
ENSG00000204518	1	12704566	12727097	43	3	46350	-0.58463	0.7206	AADACL4
ENSG00000188984	1	12776118	12788726	47	6	46350	-1.7854	0.9629	AADACL3
ENSG00000157330	1	12806163	12823847	56	8	46350	-1.1651	0.878	C1orf158
ENSG00000116726	1	12834984	12838049	9	2	46350	-1.4316	0.92388	PRAMEF12
ENSG00000116721	1	12851546	12856777	30	6	46350	-1.6573	0.95127	PRAMEF1
ENSG00000204513	1	12884468	12891264	11	3	46350	-1.7739	0.96196	PRAMEF11
ENSG00000179172	1	12907261	12908578	8	3	46350	0.3347	0.36893	HNRNPCL1
ENSG00000120952	1	12916941	12921764	51	7	46350	1.4684	0.070995	PRAMEF2
ENSG00000243073	1	12939045	12946025	39	4	46350	1.7457	0.040427	PRAMEF4
ENSG00000187545	1	12952727	12958101	4	2	46350	-0.799	0.78786	PRAMEF10
ENSG00000232423	1	12998181	13117751	7	2	46350	-0.39913	0.6551	PRAMEF6
ENSG00000162494	1	13801445	13840543	137	25	46350	-1.0121	0.84425	LRRC38
ENSG00000162493	1	13909960	13944452	115	23	46350	0.45386	0.32497	PDPN
ENSG00000116731	1	14026693	14151574	399	29	46350	0.54061	0.29439	PRDM2
ENSG00000189337	1	14925200	15444539	1932	171	46350	-0.24854	0.59814	KAZN
ENSG00000171729	1	15479028	15546976	403	28	46350	0.51659	0.30272	TMEM51
ENSG00000204464	1	15490840	15497813	32	8	46350	0.37234	0.35482	C1orf195
ENSG00000142621	1	15573768	15726779	494	51	46350	-1.4564	0.92736	FHAD1
ENSG00000142634	1	15736391	15756839	67	18	46350	-1.2242	0.88956	EFHD2
ENSG00000162438	1	15764935	15775737	29	8	46350	-0.080473	0.53207	CTRC
ENSG00000142615	1	15783223	15798586	67	9	46350	0.55372	0.28989	CELA2A
ENSG00000215704	1	15792404	15817895	97	13	46350	0.1004	0.46001	CELA2B
ENSG00000132906	1	15817327	15853029	168	10	46350	0.81638	0.20714	CASP9
ENSG00000116138	1	15853308	15918874	245	13	46350	0.66058	0.25444	DNAJC16
ENSG00000116771	1	15898848	15911605	65	6	46350	0.75446	0.22529	AGMAT
ENSG00000197312	1	15943995	15995539	142	7	46350	-0.68803	0.75428	DDI2
ENSG00000215695	1	15986364	15988217	3	2	46350	-1.2626	0.89663	RSC1A1
ENSG00000116786	1	16010827	16061264	171	13	46350	-0.79529	0.78678	PLEKHM2
ENSG00000162461	1	16062900	16067891	10	4	46350	0.42231	0.3364	SLC25A34
ENSG00000162460	1	16068917	16074477	20	5	46350	-1.7042	0.95583	TMEM82
ENSG00000162458	1	16083102	16113089	79	11	46350	-1.1102	0.86654	FBLIM1
ENSG00000065526	1	16174359	16266955	184	20	46350	1.3453	0.089264	SPEN
ENSG00000116809	1	16268364	16302627	64	12	46350	1.144	0.1263	ZBTB17
ENSG00000183888	1	16330731	16335302	19	6	46350	0.64932	0.25807	C1orf64
ENSG00000173641	1	16340523	16346089	50	6	46350	0.29283	0.38483	HSPB7
ENSG00000186510	1	16345370	16360545	95	13	46350	0.87757	0.19009	CLCNKA
ENSG00000184908	1	16370272	16383803	144	15	46350	-0.1545	0.56139	CLCNKB
ENSG00000185519	1	16384264	16400127	103	13	46350	0.5532	0.29006	FAM131C
ENSG00000142627	1	16450832	16482582	63	13	46350	1.9559	0.02524	EPHA2
ENSG00000142632	1	16524349	16539104	66	6	46350	0.39823	0.34523	ARHGEF19
ENSG00000204377	1	16555368	16556038	3	1	46350	0.42829	0.33422	C1orf134
ENSG00000132881	1	16558195	16563657	15	6	46350	0.77067	0.22045	RSG1
ENSG00000037637	1	16573334	16678949	284	12	46350	0.2036	0.41933	FBXO42
ENSG00000055070	1	16679070	16724640	131	13	46350	0.37536	0.3537	SZRD1
ENSG00000187144	1	16713612	16763919	160	24	46350	0.90974	0.18148	SPATA21
ENSG00000157191	1	16767167	16786573	46	10	46350	0.45849	0.3233	NECAP2
ENSG00000268674	1	16865561	16866070	1	1	46350	-0.46379	0.6786	FAM231B
ENSG00000219481	1	16888814	16940057	2	1	46350	1.4343	0.075744	NBPF1
ENSG00000058453	1	17066768	17299474	375	24	46350	-0.28906	0.61373	CROCC
ENSG00000117122	1	17300997	17307330	19	4	46350	1.3739	0.08473	MFAP2
ENSG00000159363	1	17312453	17338423	55	10	46350	1.237	0.10804	ATP13A2
ENSG00000117118	1	17345217	17380665	130	11	46350	0.96794	0.16654	SDHB
ENSG00000117115	1	17393256	17445948	296	17	46350	0.68214	0.24757	PADI2
ENSG00000142623	1	17531621	17572500	156	38	46350	-0.07996	0.53187	PADI1
ENSG00000142619	1	17575593	17610728	180	25	46350	1.3706	0.085246	PADI3
ENSG00000159339	1	17634690	17690499	349	26	46350	-0.55628	0.71099	PADI4
ENSG00000269468	1	17655507	17676070	159	13	46350	-0.62671	0.73457	AC004824.2
ENSG00000179051	1	17733256	17766220	87	12	46350	1.1445	0.12621	RCC2
ENSG00000074964	1	17866330	18024369	365	33	46350	-2.2023	0.98618	ARHGEF10L
ENSG00000117148	1	18081808	18153558	231	22	46350	-0.11566	0.54604	ACTL8
ENSG00000117154	1	18434240	18704977	1020	109	46350	0.84632	0.19869	IGSF21
ENSG00000179023	1	18807424	18812478	28	6	46350	-0.44719	0.67263	KLHDC7A
ENSG00000009709	1	18957500	19075360	325	39	46350	0.82747	0.20399	PAX7
ENSG00000179002	1	19166093	19186176	128	21	46350	1.4185	0.078021	TAS1R2
ENSG00000255275	1	19175767	19247615	353	39	46350	-0.08248	0.53287	RP13-279N23.2
ENSG00000159423	1	19197926	19229275	145	20	46350	-1.2373	0.89201	ALDH4A1
ENSG00000169991	1	19230775	19283180	171	28	46350	-0.44352	0.6713	IFFO2
ENSG00000127481	1	19401000	19536770	303	19	46350	-1.1038	0.86517	UBR4
ENSG00000127463	1	19542158	19578046	118	13	46350	0.34099	0.36655	EMC1
ENSG00000053372	1	19578033	19586622	59	8	46350	-1.2469	0.89378	MRTO4
ENSG00000162482	1	19609052	19615744	31	5	46350	-1.0018	0.84178	AKR7A3
ENSG00000053371	1	19630459	19638640	28	11	46350	-1.3132	0.90544	AKR7A2
ENSG00000040487	1	19638820	19655794	100	12	46350	-1.4676	0.9289	PQLC2
ENSG00000077549	1	19665267	19812066	624	23	46350	-0.021642	0.50863	CAPZB
ENSG00000270136	1	19923473	19984549	215	31	46350	1.2926	0.098081	MINOS1-NBL1
ENSG00000173436	1	19923477	19956314	88	14	46350	0.19107	0.42424	MINOS1
ENSG00000158747	1	19967048	19984945	81	22	46350	2.2209	0.013179	NBL1
ENSG00000158748	1	19991780	20006055	36	6	46350	2.9849	0.0014185	HTR6
ENSG00000162542	1	20008706	20126438	375	40	46350	0.86032	0.19481	TMCO4
ENSG00000178828	1	20140523	20141771	5	3	46350	-1.1008	0.86452	RNF186
ENSG00000169914	1	20209006	20239438	93	15	46350	-0.47194	0.68152	OTUD3
ENSG00000188784	1	20246502	20250110	17	5	46350	-0.6446	0.74041	PLA2G2E
ENSG00000188257	1	20301925	20306932	15	6	46350	-0.012896	0.50514	PLA2G2A
ENSG00000127472	1	20354672	20417683	234	25	46350	-2.02	0.97831	PLA2G5
ENSG00000117215	1	20438432	20446050	24	9	46350	-0.34716	0.63576	PLA2G2D
ENSG00000158786	1	20465819	20476879	21	9	46350	1.1993	0.11521	PLA2G2F
ENSG00000187980	1	20487746	20503917	59	12	46350	0.046029	0.48164	PLA2G2C
ENSG00000162543	1	20512578	20522541	9	3	46350	0.89907	0.18431	UBXN10
ENSG00000158816	1	20617412	20681387	275	24	46350	0.88946	0.18688	VWA5B1
ENSG00000162545	1	20808884	20812713	3	2	46350	-0.34362	0.63443	CAMK2N1
ENSG00000090432	1	20825943	20834654	27	8	46350	0.95588	0.16957	MUL1
ENSG00000183114	1	20878932	20881512	4	1	46350	0.63057	0.26416	FAM43B
ENSG00000158825	1	20915441	20945401	153	21	46350	-0.069043	0.52752	CDA
ENSG00000158828	1	20959948	20978004	93	11	46350	-1.4029	0.91967	PINK1
ENSG00000244038	1	20978270	20988000	37	6	46350	-0.28236	0.61117	DDOST
ENSG00000117245	1	20990507	21044510	251	47	46350	-0.66648	0.74745	KIF17
ENSG00000189410	1	21046225	21059330	36	8	46350	-0.83807	0.79901	SH2D5
ENSG00000127483	1	21069154	21113816	129	18	46350	0.12673	0.44958	HP1BP3
ENSG00000075151	1	21132963	21503377	888	26	46350	0.99467	0.15995	EIF4G3
ENSG00000117298	1	21543740	21671997	396	39	46350	-0.59019	0.72247	ECE1
ENSG00000142794	1	21766621	21811498	202	16	46350	0.039138	0.48439	NBPF3
ENSG00000162551	1	21835858	21904905	354	31	46350	-0.39728	0.65442	ALPL
ENSG00000076864	1	21922708	21995801	309	40	46350	2.3597	0.0091441	RAP1GAP
ENSG00000090686	1	22004791	22110099	385	28	46350	0.046351	0.48152	USP48
ENSG00000187942	1	22138758	22151714	47	19	46350	-0.50055	0.69166	LDLRAD2
ENSG00000142798	1	22148738	22263790	409	37	46350	-0.76181	0.77691	HSPG2
ENSG00000219073	1	22303514	22325135	252	18	46350	0.018853	0.49248	CELA3B
ENSG00000142789	1	22328149	22339032	89	13	46350	-0.44037	0.67017	CELA3A
ENSG00000070831	1	22379120	22419437	127	16	46350	-0.355	0.63871	CDC42
ENSG00000162552	1	22443798	22470462	100	16	46350	-0.75284	0.77423	WNT4
ENSG00000184677	1	22778344	22857650	160	17	46350	-1.1639	0.87777	ZBTB40
ENSG00000070886	1	22890057	22930087	198	25	46350	0.12679	0.44955	EPHA8
ENSG00000173372	1	22962999	22966101	6	3	46350	-0.65748	0.74457	C1QA
ENSG00000159189	1	22970123	22974603	22	4	46350	-2.2128	0.98655	C1QC
ENSG00000173369	1	22979255	22988031	28	6	46350	-0.33545	0.63136	C1QB
ENSG00000133216	1	23037332	23241818	479	49	46350	1.4782	0.069678	EPHB2
ENSG00000215906	1	23279536	23291831	37	9	46350	-0.71372	0.7623	LACTBL1
ENSG00000227868	1	23337327	23342343	10	3	46350	-0.83766	0.79889	C1orf234
ENSG00000004487	1	23345941	23410182	86	9	46350	-1.5525	0.93973	KDM1A
ENSG00000169641	1	23410516	23504301	209	20	46350	-0.3547	0.63859	LUZP1
ENSG00000179546	1	23516993	23521222	15	3	46350	-0.35819	0.6399	HTR1D
ENSG00000125944	1	23630264	23670829	51	8	46350	1.7369	0.041202	HNRNPR
ENSG00000125945	1	23685941	23695935	30	5	46350	1.7391	0.041012	ZNF436
ENSG00000249087	1	23695490	23698332	3	2	46350	1.7718	0.038213	C1orf213
ENSG00000204219	1	23707554	23751233	125	17	46350	2.1976	0.01399	TCEA3
ENSG00000088280	1	23755056	23811061	136	14	46350	1.0064	0.15711	ASAP3
ENSG00000007968	1	23832922	23857712	60	7	46350	1.4229	0.077376	E2F2
ENSG00000117318	1	23884409	23886285	8	3	46350	0.93881	0.17391	ID3
ENSG00000197880	1	23907985	23967058	122	24	46350	3.2033	0.00067939	MDS2
ENSG00000142676	1	24018269	24022915	5	2	46350	0.42944	0.3338	RPL11
ENSG00000011007	1	24069645	24088549	24	10	46350	0.58254	0.2801	TCEB3
ENSG00000057757	1	24104895	24114722	9	3	46350	-0.19203	0.57614	PITHD1
ENSG00000011009	1	24117460	24122029	4	1	46350	-0.21383	0.58466	LYPLA2
ENSG00000117308	1	24122089	24127271	1	1	46350	-0.055425	0.5221	GALE
ENSG00000117305	1	24128375	24165110	56	4	46350	0.91159	0.18099	HMGCL
ENSG00000179163	1	24171567	24194784	54	6	46350	0.87468	0.19087	FUCA1
ENSG00000188822	1	24197016	24285549	267	12	46350	0.75731	0.22443	CNR2
ENSG00000189266	1	24285599	24289952	9	2	46350	0.82495	0.2047	PNRC2
ENSG00000188529	1	24291294	24307417	11	3	46350	0.99947	0.15878	SRSF10
ENSG00000142661	1	24382525	24438665	209	22	46350	-0.030411	0.51213	MYOM3
ENSG00000142677	1	24446261	24469611	74	14	46350	1.728	0.041996	IL22RA1
ENSG00000185436	1	24480647	24514449	153	20	46350	0.5195	0.30171	IFNLR1
ENSG00000158055	1	24645812	24690972	104	20	46350	-3.387	0.99965	GRHL3
ENSG00000001460	1	24683489	24743424	188	18	46350	-2.7475	0.997	STPG1
ENSG00000001461	1	24742284	24799466	175	15	46350	-2.7028	0.99656	NIPAL3
ENSG00000117602	1	24829387	24867530	138	16	46350	0.76079	0.22339	RCAN3
ENSG00000184454	1	24882602	24935819	276	24	46350	0.54582	0.2926	NCMAP
ENSG00000133226	1	24958207	24999758	52	9	46350	1.7139	0.043274	SRRM1
ENSG00000169504	1	25071848	25170815	123	11	46350	0.37997	0.35198	CLIC4
ENSG00000020633	1	25226002	25291612	136	24	46350	-0.19587	0.57765	RUNX3
ENSG00000117614	1	25549170	25558993	5	3	46350	-0.69494	0.75645	SYF2
ENSG00000117616	1	25568728	25664704	85	11	46350	2.2454	0.012371	C1orf63
ENSG00000187010	1	25598884	25656936	48	6	46350	2.049	0.020233	RHD
ENSG00000183726	1	25664408	25688852	28	6	46350	3.0014	0.0013435	TMEM50A
ENSG00000188672	1	25688740	25756683	93	4	46350	2.8352	0.0022901	RHCE
ENSG00000204178	1	25757388	25826700	107	2	46350	2.505	0.0061224	TMEM57
ENSG00000157978	1	25870071	25895377	47	6	46350	0.79538	0.2132	LDLRAP1
ENSG00000117643	1	25943959	26112698	294	20	46350	3.2683	0.00054101	MAN1C1
ENSG00000162430	1	26126667	26144713	54	4	46350	-0.66111	0.74573	SEPN1
ENSG00000255054	1	26137961	26150235	39	4	46350	0.18724	0.42574	RP1-317E23.6
ENSG00000117640	1	26145131	26159432	36	3	46350	0.019002	0.49242	MTFR1L
ENSG00000223474	1	26145212	26147288	6	2	46350	-1.1563	0.87623	AL020996.1
ENSG00000127423	1	26158414	26185903	76	3	46350	-0.47487	0.68256	AUNIP
ENSG00000182749	1	26187701	26197744	8	2	46350	-0.6123	0.72983	PAQR7
