# ALPHA = 0.05
# NUMBER_OF_TESTS = 15484

# _SET1_  VARIABLE = Curated_gene_sets:roversi_glioma_copy_number_up (set)
# _SET1_  NGENES = 97
# _SET1_  P-VALUE = 1.65838e-08
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000165912    11   47199076   47207994     15       4  54162      0.67475      0.20828   -3.3307e-15      0.67475
_SET1_   ENSG00000134574    11   47236493   47260767     52       7  54162      0.74133       0.1841   -3.3307e-15      0.74133
_SET1_   ENSG00000134575    11   47260853   47270457     23       4  54162       1.0105      0.12493   -3.3307e-15       1.0105
_SET1_   ENSG00000025434    11   47269851   47290396     41       5  54162      0.51743       0.2508   -3.3307e-15      0.51743
_SET1_   ENSG00000134571    11   47352957   47374253     39      11  54162       2.9537   0.00093136   -3.1086e-15       2.9537
_SET1_   ENSG00000066336    11   47376411   47400127     47       6  54162       4.4557   1.9144e-06   -3.5527e-15       4.4557
_SET1_   ENSG00000165916    11   47440320   47447993     14       4  54162       4.2522   5.4531e-06   -3.5527e-15       4.2522
_SET1_   ENSG00000149177    11   48002113   48189670    303      18  54162      0.33177      0.30172   -3.2752e-15      0.33177
_SET1_   ENSG00000086205    11   49168187   49230222    169      13  54162       1.0749      0.10441   -3.3307e-15       1.0749
_SET1_   ENSG00000130035    12    4829507    4960277    384      36  54162       2.1257    0.0099561   -3.1086e-15       2.1257
_SET1_   ENSG00000139629    12   51745031   51786651     77      20  54162      0.14842      0.37134   -3.2752e-15      0.14842
_SET1_   ENSG00000182870    12  132680924  132905935    126      11  54162      -0.2452      0.52288   -3.2752e-15      -0.2452
_SET1_   ENSG00000165416    13   53226844   53275044    114       5  54162       2.7202    0.0019806   -3.1086e-15       2.7202
_SET1_   ENSG00000136110    13   53277399   53313947     86       9  54162       2.5518    0.0033217   -3.1086e-15       2.5518
_SET1_   ENSG00000181733    19    8841316    8842371      2       1  54162      0.14994      0.40248   -3.2752e-15      0.14994
_SET1_   ENSG00000170948    19    8943074    8954016     15       4  54162    -0.075189      0.47485    -3.289e-15    -0.075189
_SET1_   ENSG00000105738    19   38397868   38699012    740      43  54162       1.7853     0.022973   -3.3307e-15       1.7853
_SET1_   ENSG00000011332    19   38701646   38720354     50      10  54162      0.36078      0.29742   -3.2752e-15      0.36078
_SET1_   ENSG00000186567    19   45165545   45187631     27       8  54162       3.9609    2.073e-05   -3.1086e-15       3.9609
_SET1_   ENSG00000069399    19   45250962   45263301     22       6  54162       6.7954   3.9968e-15   -3.5527e-15       6.7954
_SET1_   ENSG00000142273    19   45281126   45303891     38       5  54162       5.9133   7.1525e-10   -3.5527e-15       5.9133
_SET1_   ENSG00000187244    19   45312328   45324673     27       4  54162       6.3644   4.0982e-11   -3.5527e-15       6.3644
_SET1_   ENSG00000130202    19   45349432   45392485    152      20  54162       6.7423    4.069e-14   -3.5527e-15       6.7423
_SET1_   ENSG00000130204    19   45393826   45406946     46       9  54162       6.7687   1.0436e-14   -3.5527e-15       6.7687
_SET1_   ENSG00000130203    19   45409011   45412650      5       2  54162       6.8136    2.236e-13   -3.5527e-15       6.8136
_SET1_   ENSG00000130208    19   45417504   45422606     10       4  54162        5.972        5e-10   -3.5527e-15        5.972
_SET1_   ENSG00000267467    19   45445495   45452820     19       3  54162       6.5344   1.1572e-11   -3.5527e-15       6.5344
_SET1_   ENSG00000234906    19   45449243   45452822     13       3  54162        6.299   5.8482e-11   -3.5527e-15        6.299
_SET1_   ENSG00000104853    19   45457842   45496599     97      11  54162       6.7594   8.4874e-14   -3.5527e-15       6.7594
_SET1_   ENSG00000104856    19   45504688   45541452     49      10  54162         6.76   2.0762e-14   -3.5527e-15         6.76
_SET1_   ENSG00000104859    19   45542298   45574214     27       2  54162       4.1574   7.9686e-06   -3.5527e-15       4.1574
_SET1_   ENSG00000170684    19   45574758   45579846      2       1  54162       1.3377     0.074907   -3.3307e-15       1.3377
_SET1_   ENSG00000142252    19   45582453   45594782     61       4  54162       4.3614   2.8731e-06   -3.5527e-15       4.3614
_SET1_   ENSG00000007047    19   45582546   45808541    538      37  54162        6.729   1.7092e-15   -3.5527e-15        6.729
_SET1_   ENSG00000130201    19   45715879   45737469     75       4  54162       5.7594   1.7685e-09   -3.5527e-15       5.7594
_SET1_   ENSG00000104879    19   45809672   45826235     55      11  54162        1.909     0.018767   -3.3307e-15        1.909
_SET1_   ENSG00000104892    19   45836692   45854778     47       9  54162       2.4314    0.0047137   -3.1086e-15       2.4314
_SET1_   ENSG00000104884    19   45853095   45874176     46       7  54162       2.4672    0.0041741   -3.1086e-15       2.4672
_SET1_   ENSG00000104881    19   45882892   45909607     42      10  54162       2.6175    0.0026686   -3.1086e-15       2.6175
_SET1_   ENSG00000117877    19   45909467   45914024     18       5  54162       1.5028     0.050209   -3.3307e-15       1.5028
_SET1_   ENSG00000012061    19   45910591   45982086    187      27  54162       2.9186   0.00095329   -3.1086e-15       2.9186
_SET1_   ENSG00000125740    19   45971253   45978437     21       5  54162       2.0817     0.012749   -3.1086e-15       2.0817
_SET1_   ENSG00000171574    19   58912871   58929694     57       5  54162     -0.66547      0.69031   -3.3307e-15     -0.66547
_SET1_   ENSG00000131849    19   58944181   58951589     13       3  54162      -1.9084       0.9613   -3.3307e-15      -1.9084
_SET1_   ENSG00000083812    19   58978423   58984945      7       4  54162      -1.3489      0.88866   -3.3307e-15      -1.3489
_SET1_   ENSG00000083807    19   58990879   59023780     65       9  54162       -2.097      0.97287   -3.1086e-15       -2.097
_SET1_   ENSG00000119574    19   59024897   59050278     21       5  54162      -2.0053      0.96849   -3.1086e-15      -2.0053
_SET1_   ENSG00000130726    19   59055458   59062089      8       3  54162      -1.6145       0.9319   -3.3307e-15      -1.6145
_SET1_   ENSG00000130725    19   59067079   59070327      3       1  54162     -0.94948      0.79905   -3.3307e-15     -0.94948
_SET1_   ENSG00000099326    19   59073298   59084942     20       4  54162       -1.198      0.85559   -3.3307e-15       -1.198

# _SET2_  VARIABLE = GO_bp:go_regulation_of_amyloid_beta_formation (set)
# _SET2_  NGENES = 21
# _SET2_  P-VALUE = 2.7873e-06
_SET2_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   ENSG00000169242     1  155099936  155107333     13       4  54162       1.5832     0.042168   -3.3307e-15       1.5832
_SET2_   ENSG00000134318     2   11319887   11488456    361      15  54162     -0.28753      0.53688   -3.2752e-15     -0.28753
_SET2_   ENSG00000136717     2  127805603  127864931    221      25  54162       4.6271   7.1435e-07   -3.5527e-15       4.6271
_SET2_   ENSG00000116106     2  222282747  222438922    359      31  54162      -0.6764      0.68141   -3.3307e-15      -0.6764
_SET2_   ENSG00000164305     4  185548850  185570663     42       6  54162       -1.541      0.91599   -3.3307e-15       -1.541
_SET2_   ENSG00000186088     7   76940068   77045717    294      21  54162     0.028815       0.4137   -3.2856e-15     0.028815
_SET2_   ENSG00000120885     8   27454434   27472548     33       5  54162       6.7731    2.598e-14   -3.5527e-15       6.7731
_SET2_   ENSG00000198739    10   68685764   68859588    413      33  54162      -1.4203      0.88762   -3.3307e-15      -1.4203
_SET2_   ENSG00000073921    11   85668727   85780924    303      18  54162       5.9056   5.2657e-10   -3.5527e-15       5.9056
_SET2_   ENSG00000137642    11  121322912  121504402    319      40  54162       4.6714   5.6258e-07   -3.5527e-15       4.6714
_SET2_   ENSG00000017427    12  102789645  102874423    126      16  54162      0.64012      0.20808   -3.3307e-15      0.64012
_SET2_   ENSG00000170348    14   75598173   75643334     59       4  54162       0.1451      0.37528   -3.2752e-15       0.1451
_SET2_   ENSG00000175344    15   32322691   32464722    235      28  54162     -0.14387      0.48099   -3.2752e-15     -0.14387
_SET2_   ENSG00000173805    17   39873994   39890896     73       8  54162      -1.5195      0.91298   -3.3307e-15      -1.5195
_SET2_   ENSG00000125447    17   73232694   73258444     40       5  54162     -0.45808       0.6206   -3.2752e-15     -0.45808
_SET2_   ENSG00000067900    18   18526867   18691812     90       6  54162      0.86355       0.1543   -3.3307e-15      0.86355
_SET2_   ENSG00000064687    19    1040102    1065571     87      13  54162       5.3493   1.6409e-08   -3.5527e-15       5.3493
_SET2_   ENSG00000105723    19   42734338   42746777     10       2  54162     -0.15878      0.52004   -3.2752e-15     -0.15878
_SET2_   ENSG00000130203    19   45409011   45412650      5       2  54162       6.8136    2.236e-13   -3.5527e-15       6.8136
_SET2_   ENSG00000171867    20    4666882    4682236     35       6  54162      -1.0378      0.81217   -3.3307e-15      -1.0378
_SET2_   ENSG00000142192    21   27252861   27543446    691      52  54162       1.3705     0.057986   -3.3307e-15       1.3705

# _SET3_  VARIABLE = GO_bp:go_regulation_of_aspartic_type_endopeptidase_activity_involved_in_amyloid_precursor_protein_catabolic_process (set)
# _SET3_  NGENES = 10
# _SET3_  P-VALUE = 1.2138e-08
_SET3_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET3_   ENSG00000251246     1  155036224  155059283     27       6  54162       1.2667     0.077112   -3.3307e-15       1.2667
_SET3_   ENSG00000143590     1  155036224  155060014     29       6  54162       1.1891     0.088794   -3.3307e-15       1.1891
_SET3_   ENSG00000169242     1  155099936  155107333     13       4  54162       1.5832     0.042168   -3.3307e-15       1.5832
_SET3_   ENSG00000134318     2   11319887   11488456    361      15  54162     -0.28753      0.53688   -3.2752e-15     -0.28753
_SET3_   ENSG00000136717     2  127805603  127864931    221      25  54162       4.6271   7.1435e-07   -3.5527e-15       4.6271
_SET3_   ENSG00000116106     2  222282747  222438922    359      31  54162      -0.6764      0.68141   -3.3307e-15      -0.6764
_SET3_   ENSG00000204305     6   32148745   32152101     13       6  54162       1.0369      0.12171   -3.3307e-15       1.0369
_SET3_   ENSG00000254087     8   56792372   56923940    410      30  54162        1.718     0.027543   -3.3307e-15        1.718
_SET3_   ENSG00000073921    11   85668727   85780924    303      18  54162       5.9056   5.2657e-10   -3.5527e-15       5.9056
_SET3_   ENSG00000137642    11  121322912  121504402    319      40  54162       4.6714   5.6258e-07   -3.5527e-15       4.6714

# _SET4_  VARIABLE = GO_bp:go_negative_regulation_of_amyloid_precursor_protein_catabolic_process (set)
# _SET4_  NGENES = 13
# _SET4_  P-VALUE = 9.3247e-07
_SET4_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET4_   ENSG00000136717     2  127805603  127864931    221      25  54162       4.6271   7.1435e-07   -3.5527e-15       4.6271
_SET4_   ENSG00000120885     8   27454434   27472548     33       5  54162       6.7731    2.598e-14   -3.5527e-15       6.7731
_SET4_   ENSG00000073921    11   85668727   85780924    303      18  54162       5.9056   5.2657e-10   -3.5527e-15       5.9056
_SET4_   ENSG00000137642    11  121322912  121504402    319      40  54162       4.6714   5.6258e-07   -3.5527e-15       4.6714
_SET4_   ENSG00000017427    12  102789645  102874423    126      16  54162      0.64012      0.20808   -3.3307e-15      0.64012
_SET4_   ENSG00000175344    15   32322691   32464722    235      28  54162     -0.14387      0.48099   -3.2752e-15     -0.14387
_SET4_   ENSG00000132589    17   27206353   27224697     21       4  54162     -0.89148       0.7711   -3.3307e-15     -0.89148
_SET4_   ENSG00000173805    17   39873994   39890896     73       8  54162      -1.5195      0.91298   -3.3307e-15      -1.5195
_SET4_   ENSG00000125447    17   73232694   73258444     40       5  54162     -0.45808       0.6206   -3.2752e-15     -0.45808
_SET4_   ENSG00000067900    18   18526867   18691812     90       6  54162      0.86355       0.1543   -3.3307e-15      0.86355
_SET4_   ENSG00000064687    19    1040102    1065571     87      13  54162       5.3493   1.6409e-08   -3.5527e-15       5.3493
_SET4_   ENSG00000130203    19   45409011   45412650      5       2  54162       6.8136    2.236e-13   -3.5527e-15       6.8136
_SET4_   ENSG00000171867    20    4666882    4682236     35       6  54162      -1.0378      0.81217   -3.3307e-15      -1.0378

# _SET5_  VARIABLE = GO_bp:go_regulation_of_metalloendopeptidase_activity (set)
# _SET5_  NGENES = 6
# _SET5_  P-VALUE = 1.9862e-06
_SET5_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET5_   ENSG00000122707     9   36036430   36124448    152      19  54162       1.2232     0.079558   -3.3307e-15       1.2232
_SET5_   ENSG00000073921    11   85668727   85780924    303      18  54162       5.9056   5.2657e-10   -3.5527e-15       5.9056
_SET5_   ENSG00000137642    11  121322912  121504402    319      40  54162       4.6714   5.6258e-07   -3.5527e-15       4.6714
_SET5_   ENSG00000168610    17   40465342   40540586    130      10  54162      0.78838      0.16653   -3.3307e-15      0.78838
_SET5_   ENSG00000197971    18   74690783   74845639    628      87  54162      0.33476      0.29742   -3.2752e-15      0.33476
_SET5_   ENSG00000100234    22   33197687   33259030    119      24  54162      -0.2539      0.52945   -3.2752e-15      -0.2539

# _SET6_  VARIABLE = GO_bp:go_negative_regulation_of_metalloendopeptidase_activity (set)
# _SET6_  NGENES = 4
# _SET6_  P-VALUE = 1.5559e-08
_SET6_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET6_   ENSG00000122707     9   36036430   36124448    152      19  54162       1.2232     0.079558   -3.3307e-15       1.2232
_SET6_   ENSG00000073921    11   85668727   85780924    303      18  54162       5.9056   5.2657e-10   -3.5527e-15       5.9056
_SET6_   ENSG00000137642    11  121322912  121504402    319      40  54162       4.6714   5.6258e-07   -3.5527e-15       4.6714
_SET6_   ENSG00000100234    22   33197687   33259030    119      24  54162      -0.2539      0.52945   -3.2752e-15      -0.2539

# _SET7_  VARIABLE = GO_bp:go_negative_regulation_of_metallopeptidase_activity (set)
# _SET7_  NGENES = 5
# _SET7_  P-VALUE = 3.0009e-06
_SET7_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET7_   ENSG00000122707     9   36036430   36124448    152      19  54162       1.2232     0.079558   -3.3307e-15       1.2232
_SET7_   ENSG00000073921    11   85668727   85780924    303      18  54162       5.9056   5.2657e-10   -3.5527e-15       5.9056
_SET7_   ENSG00000137642    11  121322912  121504402    319      40  54162       4.6714   5.6258e-07   -3.5527e-15       4.6714
_SET7_   ENSG00000035862    17   76849059   76921469    261      21  54162       -1.106      0.81966   -3.3307e-15       -1.106
_SET7_   ENSG00000100234    22   33197687   33259030    119      24  54162      -0.2539      0.52945   -3.2752e-15      -0.2539

# _SET8_  VARIABLE = GO_bp:go_regulation_of_aspartic_type_peptidase_activity (set)
# _SET8_  NGENES = 12
# _SET8_  P-VALUE = 1.4349e-08
_SET8_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET8_   ENSG00000251246     1  155036224  155059283     27       6  54162       1.2667     0.077112   -3.3307e-15       1.2667
_SET8_   ENSG00000143590     1  155036224  155060014     29       6  54162       1.1891     0.088794   -3.3307e-15       1.1891
_SET8_   ENSG00000169242     1  155099936  155107333     13       4  54162       1.5832     0.042168   -3.3307e-15       1.5832
_SET8_   ENSG00000134318     2   11319887   11488456    361      15  54162     -0.28753      0.53688   -3.2752e-15     -0.28753
_SET8_   ENSG00000136717     2  127805603  127864931    221      25  54162       4.6271   7.1435e-07   -3.5527e-15       4.6271
_SET8_   ENSG00000116106     2  222282747  222438922    359      31  54162      -0.6764      0.68141   -3.3307e-15      -0.6764
_SET8_   ENSG00000204305     6   32148745   32152101     13       6  54162       1.0369      0.12171   -3.3307e-15       1.0369
_SET8_   ENSG00000254087     8   56792372   56923940    410      30  54162        1.718     0.027543   -3.3307e-15        1.718
_SET8_   ENSG00000073921    11   85668727   85780924    303      18  54162       5.9056   5.2657e-10   -3.5527e-15       5.9056
_SET8_   ENSG00000137642    11  121322912  121504402    319      40  54162       4.6714   5.6258e-07   -3.5527e-15       4.6714
_SET8_   ENSG00000030582    17   42422614   42430470     11       5  54162       1.9478     0.018509   -3.3307e-15       1.9478
_SET8_   ENSG00000167634    19   55434877   55477680    156      23  54162       0.7023      0.18542   -3.3307e-15       0.7023

# _SET9_  VARIABLE = GO_cc:go_neurofibrillary_tangle (set)
# _SET9_  NGENES = 5
# _SET9_  P-VALUE = 8.2625e-10
_SET9_   GENE              CHR     START      STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET9_   ENSG00000104722     8  24770525  24776607      5       2  54162      0.72256       0.2011   -3.3307e-15      0.72256
_SET9_   ENSG00000120885     8  27454434  27472548     33       5  54162       6.7731    2.598e-14   -3.5527e-15       6.7731
_SET9_   ENSG00000073921    11  85668727  85780924    303      18  54162       5.9056   5.2657e-10   -3.5527e-15       5.9056
_SET9_   ENSG00000186868    17  43971748  44105700    702       5  54162       2.0493     0.012296   -3.1086e-15       2.0493
_SET9_   ENSG00000100285    22  29876219  29887379     29       7  54162      0.54396      0.24257   -3.3307e-15      0.54396
