ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000046604	DSG2	18	29078006	29128971	1	protein_coding	1829	DSG2	0.000747066619496092	-0.409230501	13	7.216	4.63e-08	rs8093731	10
ENSG00000118271	TTR	18	29171689	29178974	1	protein_coding	7276	TTR	0.130835841006919	-0.009521223	1	4.731	NA	rs8093731	10
ENSG00000064666	CNN2	19	1026298	1039068	1	protein_coding	1265	CNN2	0.212309400922857	2.877068271	8	8.707	4.702e-09	rs67027268	11
ENSG00000064687	ABCA7	19	1040102	1065571	1	protein_coding	10347	ABCA7	1.89160398990449e-36	0.328501233	12	8.707	1.701e-09	rs67027268;rs4147929	11
ENSG00000180448	HMHA1	19	1065922	1086627	1	protein_coding	23526	HMHA1	0.453633762319863	0.891153206	4	6.172	1.701e-09	rs4147929	11
ENSG00000216588	IGSF23	19	45116940	45140081	1	protein_coding	147710	IGSF23	NA	0.573724812	31	10.03	1.368e-13	rs2919845;rs7255066;rs56261258	12
ENSG00000073008	PVR	19	45147098	45166850	1	protein_coding	5817	PVR	5.51101308161619e-07	-0.732916848	23	10.94	1.368e-13	rs7255066;rs56261258	12
ENSG00000186567	CEACAM19	19	45165545	45187631	1	protein_coding	56971	CEACAM19	5.7765093789489e-07	0.414157593	6	10.94	6.256e-13	rs7255066;rs56261258;rs2919845	12
ENSG00000213892	CEACAM16	19	45202421	45213986	1	protein_coding	388551	CEACAM16	0.0295802581415047	-0.586640098	40	16.05	1.545e-22	rs73035597;rs12150984;rs79638902;rs11881756;rs73037426;rs1551891	12
ENSG00000069399	BCL3	19	45250962	45263301	1	protein_coding	602	BCL3	0.86217268510329	NA	21	13.68	6.774e-43	rs2927437;rs1551891;rs4803748;rs7254776;rs8100197;rs12459810;rs10401176;rs55923289	12
ENSG00000142273	CBLC	19	45281126	45303891	1	protein_coding	23624	CBLC	0.000182989540193376	-0.348046092	14	15.16	2.492e-43	rs2927477;rs2889414;rs35371096	12
ENSG00000187244	BCAM	19	45312328	45324673	1	protein_coding	4059	BCAM	0.0368511835228543	NA	37	15.16	4.663e-69	rs2927477;rs35371096;rs41290120;rs62117160;rs1135062;rs28399635;rs28399637;rs4802240;rs10407439;rs4803758;rs112262807	12
ENSG00000130202	PVRL2	19	45349432	45392485	1	protein_coding	5819	PVRL2	0.531937435077773	-0.314456223	215	21.1	0	rs10407439;rs4802240;rs4803763;rs4803758;rs7249933;rs55840414;rs28615360;rs111371860;rs12974942;rs41289512;rs11666329;rs11667610;rs73050216;rs2972558;rs2927468;rs8112526;rs406315;rs365653;rs138607350;rs35879138;rs112422902;rs41290100;rs41290108;rs150639620;rs393584;rs11673139;rs76692773;rs6859;rs41290120;rs3852860;rs117310449;rs760136;rs34095326;rs77301115;rs283813;rs59007384;rs10414043;rs157580;rs11668327	12
ENSG00000130204	TOMM40	19	45393826	45406946	1	protein_coding	10452	TOMM40	0.963682323765023	NA	88	25.1	0	rs11673139;rs150639620;rs406315;rs117310449;rs760136;rs34095326;rs77301115;rs283813;rs59007384;rs112422902;rs76692773;rs10414043;rs157580;rs11668327;rs1160984;rs405697;rs141864196;rs10119;rs1799820;rs59325138;rs5117;rs12721051;rs141622900;rs157595;rs138235833	12
ENSG00000130203	APOE	19	45409011	45412650	1	protein_coding	348	APOE	0.0345335830833016	-0.237445173	59	25.1	0	rs77301115;rs112422902;rs760136;rs1160984;rs405697;rs141864196;rs10119;rs1799820;rs157580;rs10414043;rs59325138;rs5117;rs12721051;rs59007384;rs141622900;rs76692773;rs157595;rs138235833;rs41289512;rs3925681;rs71352239	12
ENSG00000130208	APOC1	19	45417504	45422606	1	protein_coding	341	APOC1	0.0507382728810443	-0.105569458	53	25.1	0	rs760136;rs1799820;rs157580;rs10414043;rs59325138;rs5117;rs12721051;rs59007384;rs141622900;rs77301115;rs76692773;rs141864196;rs157595;rs138235833;rs41289512;rs3925681;rs71352239;rs41290108	12
ENSG00000224916	APOC4-APOC2	19	45445495	45452822	1	protein_coding	100533990	APOC4-APOC2	NA	NA	88	17.4	2.546e-18	rs41290108;rs35336243;rs7254723;rs117612135;rs143668237	12
ENSG00000267467	APOC4	19	45445495	45452820	1	protein_coding	346	APOC4	0.000150692347626422	0.337274035	88	17.4	2.546e-18	rs41290108;rs35336243;rs7254723;rs117612135;rs143668237	12
ENSG00000234906	APOC2	19	45449243	45452822	1	protein_coding	344	APOC2	0.0227961322934307	0.388732718	87	17.4	2.546e-18	rs35336243;rs7254723;rs117612135;rs143668237	12
ENSG00000267114	CTB-129P6.11	19	45453301	45457264	-1	protein_coding	NA	NA	NA	NA	84	17.4	2.799e-21	rs35336243;rs7254723;rs117612135;rs143668237;rs116949436;rs2376866	12
ENSG00000104853	CLPTM1	19	45457842	45496599	1	protein_coding	1209	CLPTM1	0.98048307691788	NA	154	17.4	2.799e-21	rs7254723;rs35336243;rs143668237;rs116949436;rs2376866;rs4803791;rs117612135	12
ENSG00000104856	RELB	19	45504688	45541452	1	protein_coding	5971	RELB	0.973562746007932	NA	62	17.21	2.079e-18	rs35336243;rs7254723;rs143668237;rs2376866;rs117612135;rs35194383;rs34874378;rs116949436;rs4803791;rs10856;rs34583389;rs1968449	12
ENSG00000104859	CLASRP	19	45542298	45574214	1	protein_coding	11129	CLASRP	0.964966482147783	-0.085202503	33	12.48	1.484e-16	rs1968449;rs10856	12
ENSG00000170684	ZNF296	19	45574758	45579846	-1	protein_coding	162979	ZNF296	0.97328866403764	NA	11	7.917	7.875e-13	rs1968449;rs113321260	12
ENSG00000142252	GEMIN7	19	45582453	45594782	1	protein_coding	79760	GEMIN7	0.347103990823881	-0.101681128	6	7.917	7.875e-13	rs1968449;rs113321260;rs150685845	12
ENSG00000007047	MARK4	19	45582546	45808541	1	protein_coding	57787	MARK4	0.999932135718548	NA	174	17.53	1.349e-21	rs1968449;rs113321260;rs150685845;rs12461065;rs10413253;rs75348771;rs111243475;rs73566293;rs620807;rs595290;rs111435864;rs10402739;rs346773	12
ENSG00000104866	PPP1R37	19	45594654	45651335	1	protein_coding	284352	PPP1R37	NA	0.143949947	37	17.53	1.349e-21	rs113321260;rs150685845;rs12461065;rs10413253	12
ENSG00000179846	NKPD1	19	45653008	45663408	-1	protein_coding	284353	NKPD1	1.88741865526868e-09	NA	10	17.53	1.349e-21	rs10413253;rs113321260	12
ENSG00000007255	TRAPPC6A	19	45666186	45681495	-1	protein_coding	79090	TRAPPC6A	0.000705277787371492	-0.133842318	19	8.964	2.809e-19	rs113321260;rs150685845;rs75348771	12
ENSG00000189114	BLOC1S3	19	45682003	45685059	1	protein_coding	388552	BLOC1S3	0.0184297702580611	-0.115773028	21	8.964	4.418e-19	rs113321260;rs150685845;rs75348771;rs111243475	12
ENSG00000267545	AC005779.2	19	45683080	45705702	1	protein_coding	NA	NA	NA	NA	55	12.2	4.418e-19	rs113321260;rs150685845;rs75348771;rs111243475;rs73566293;rs620807;rs595290;rs111435864	12
ENSG00000266958	AC006126.3	19	45690646	45720191	1	protein_coding	NA	NA	NA	NA	115	16.13	5.555e-18	rs113321260;rs75348771;rs111243475;rs150685845;rs73566293;rs620807;rs595290;rs111435864;rs10402739;rs346773	12
ENSG00000130201	EXOC3L2	19	45715879	45737469	-1	protein_coding	90332	EXOC3L2	0.925564031557031	NA	111	16.13	4.503e-15	rs620807;rs595290;rs111435864;rs73566293;rs10402739;rs346773	12
