ensg	symbol	chr	start	end	strand	type	entrezID	HUGO	pLI	ncRVIS	posMapSNPs	posMapMaxCADD	minGwasP	IndSigSNPs	GenomicLocus
ENSG00000127419	TMEM175	4	926175	952444	1	protein_coding	84286	TMEM175	0.000439629704611645	NA	40	22.4	1.497e-16	rs56039006;rs10017289;rs11248059;rs6599388;rs3733345;rs34311866	7
ENSG00000145214	DGKQ	4	952675	980683	-1	protein_coding	1609	DGKQ	0.0011940236557909	1.058690772	57	26.5	1.538e-16	rs11248059;rs10017289;rs56039006;rs3733345;rs34311866	7
ENSG00000145217	SLC26A1	4	972861	987228	-1	protein_coding	10861	SLC26A1	4.01304192741795e-06	0.147984095	35	26.5	3.206e-08	rs11248059;rs3733345;rs56039006	7
ENSG00000127415	IDUA	4	980785	998316	1	protein_coding	3425	IDUA	2.64182167327825e-08	NA	19	11.95	6.668e-08	rs11248059;rs56039006;rs3733345	7
ENSG00000237765	FAM200B	4	15683285	15707188	1	protein_coding	285550	FAM200B	NA	-0.311233821	4	6.722	7.32e-12	rs4698412;rs4698119	8
ENSG00000109743	BST1	4	15704573	15739936	1	protein_coding	683	BST1	2.81284355269231e-08	-0.650093374	31	15.91	2.209e-12	rs4698412;rs4698119;rs4403048	8
ENSG00000145335	SNCA	4	90645250	90759466	-1	protein_coding	6622	SNCA	0.841962359247494	-0.192396919	311	21.6	4.942e-33	rs58054215;rs6825421;rs356182;rs356221;rs2619361;rs72503734;rs1372518;rs2619357;rs2737020;rs3775439;rs12646270	9
ENSG00000138722	MMRN1	4	90800683	90875780	1	protein_coding	22915	MMRN1	9.35082142599867e-17	0.246502256	29	12.63	2.84e-09	rs2619361;rs12646270	9
ENSG00000164181	ELOVL7	5	60047618	60140216	-1	protein_coding	79993	ELOVL7	0.00156092226554038	-0.509656607	6	3.654	2.922e-09	rs75646569	10
ENSG00000049167	ERCC8	5	60169658	60240900	-1	protein_coding	1161	ERCC8	8.5728345941739e-09	1.00092408	24	15.97	3.166e-08	rs75646569	10
ENSG00000164182	NDUFAF2	5	60240956	60448853	1	protein_coding	91942	NDUFAF2	3.85650772594405e-07	0.323766514	42	13.37	4.386e-10	rs75646569	10
ENSG00000269267	AC008498.1	5	60411538	60411762	-1	protein_coding	NA	NA	NA	NA	7	10.6	2.81e-09	rs75646569	10
ENSG00000188725	SMIM15	5	60453536	60458301	-1	protein_coding	643155	SMIM15	0.228320204389897	-1.971179943	4	12.93	2.648e-09	rs75646569	10
ENSG00000133818	RRAS2	11	14299472	14386052	-1	protein_coding	22800	RRAS2	0.674254313651317	NA	1	1.762	NA	rs202122669	11
ENSG00000129084	PSMA1	11	14515329	14665181	-1	protein_coding	5682	PSMA1	0.947988404934487	NA	2	6.623	0.03009	rs202122669	11
ENSG00000152270	PDE3B	11	14665269	14892350	1	protein_coding	5140	PDE3B	0.0036164696577972	NA	3	13.21	4.358e-06	rs202122669	11
ENSG00000186104	CYP2R1	11	14899553	14913798	-1	protein_coding	120227	CYP2R1	3.05144607991638e-09	-0.337692152	1	24.1	1.658e-08	rs202122669	11
ENSG00000175868	CALCB	11	14926543	15103888	1	protein_coding	797	CALCB	0.0578761947440093	0.390879801	1	1.45	NA	rs202122669	11
ENSG00000080854	IGSF9B	11	133778459	133826880	-1	protein_coding	22997	IGSF9B	0.99987339409272	NA	15	9.019	1.814e-08	rs510306;rs10894767	12
ENSG00000151229	SLC2A13	12	40148823	40499891	-1	protein_coding	114134	SLC2A13	0.956100908800451	-0.55312775	3	2.628	5.315e-06	rs2263418	13
ENSG00000188906	LRRK2	12	40590546	40763087	1	protein_coding	120892	LRRK2	7.5565041633134e-14	0.307115335	8	3.71	5.122e-11	rs2263418;rs28903073	13
ENSG00000205592	MUC19	12	40787197	40964632	1	protein_coding	283463	MUC19	NA	NA	1	0.552	NA	rs28903073	13
ENSG00000130783	CCDC62	12	123258874	123312075	1	protein_coding	84660	CCDC62	1.43534739270012e-12	-0.176640509	1	0.376	3.075e-06	rs10847864	14
ENSG00000130787	HIP1R	12	123319000	123347507	1	protein_coding	9026	HIP1R	1.442966534484e-06	-0.568881441	2	2.403	3.775e-11	rs10847864	14
ENSG00000099385	BCL7C	16	30844947	30906281	-1	protein_coding	9274	BCL7C	0.150443662576109	NA	3	4.947	5.631e-08	rs4889603	15
ENSG00000150281	CTF1	16	30907928	30914881	1	protein_coding	1489	CTF1	0.138254693826932	0.53203146	2	8.084	5.631e-08	rs4889603	15
ENSG00000099364	FBXL19	16	30934376	30960104	1	protein_coding	54620	FBXL19	0.982522202972825	NA	6	10.3	2.981e-08	rs4889603	15
ENSG00000175938	ORAI3	16	30960387	30967782	1	protein_coding	93129	ORAI3	0.0109506896081293	-0.705290536	2	10.3	3.105e-08	rs4889603	15
ENSG00000099381	SETD1A	16	30968615	30996437	1	protein_coding	9739	SETD1A	0.999996231355084	-0.894969313	6	10.3	2.895e-08	rs4889603	15
ENSG00000099377	HSD3B7	16	30996519	31000473	1	protein_coding	80270	HSD3B7	4.6418471440819e-06	-0.867416987	3	1.709	NA	rs4889603	15
ENSG00000268863	AC135048.1	16	30996808	30997533	-1	protein_coding	NA	NA	NA	NA	3	1.709	NA	rs4889603	15
ENSG00000099365	STX1B	16	31000577	31021949	-1	protein_coding	112755	STX1B	0.944474732619076	-1.610450086	9	10.14	9.86e-06	rs4889603	15
ENSG00000103496	STX4	16	31044210	31054296	1	protein_coding	6810	STX4	9.66202483351248e-05	-0.421867635	9	8.554	6.374e-06	rs4889603	15
ENSG00000167394	ZNF668	16	31072164	31085641	-1	protein_coding	79759	ZNF668	0.26889237334633	-0.544054755	14	20.3	4.132e-06	rs4889603	15
ENSG00000232748	ZNF668	16	31072813	31073451	1	protein_coding	79759	ZNF668	NA	-0.544054755	9	17.64	4.132e-06	rs4889603	15
ENSG00000167395	ZNF646	16	31085743	31095517	1	protein_coding	9726	ZNF646	0.00556536047832854	0.564563942	8	20.3	4.132e-06	rs4889603	15
ENSG00000151006	PRSS53	16	31094746	31100949	-1	protein_coding	339105	PRSS53	7.27161895996479e-11	-0.056269178	6	20.3	4.94e-06	rs4889603	15
ENSG00000255439	RP11-196G11.1	16	31094760	31106277	-1	protein_coding	NA	NA	NA	NA	10	20.3	1.964e-06	rs4889603	15
ENSG00000167397	VKORC1	16	31102163	31107301	-1	protein_coding	79001	VKORC1	0.0818030758329219	-0.611112737	7	11.64	1.964e-06	rs4889603	15
ENSG00000103507	BCKDK	16	31117428	31124110	1	protein_coding	10295	BCKDK	0.00580435804002904	-0.219604635	20	13.16	9.648e-07	rs4889603	15
ENSG00000103510	KAT8	16	31127075	31142714	1	protein_coding	84148	KAT8	0.912576387976251	0.037392946	22	13.16	9.648e-07	rs4889603	15
ENSG00000052344	PRSS8	16	31142756	31147083	-1	protein_coding	5652	PRSS8	0.00338430962613161	-0.481580649	7	5.047	1.434e-06	rs4889603	15
ENSG00000178226	PRSS36	16	31150246	31161415	-1	protein_coding	146547	PRSS36	4.42359099895437e-13	-0.151362733	5	5.047	1.467e-06	rs4889603	15
ENSG00000159314	ARHGAP27	17	43471275	43511787	-1	protein_coding	201176	ARHGAP27	0.00125584382196987	-0.761627793	88	18.95	3.353e-09	rs62064597	16
ENSG00000225190	PLEKHM1	17	43513266	43568115	-1	protein_coding	9842	PLEKHM1	0.840543209831517	-0.663068032	141	18.95	3.354e-10	rs62064597;rs4630591;rs576904891;rs62054807	16
ENSG00000120088	CRHR1	17	43699267	43913194	1	protein_coding	1394	CRHR1	0.792134286397601	2.038085631	925	19.39	3.355e-12	rs4630591;rs576904891;rs62064597;rs62054807;rs55938136;rs199452	16
ENSG00000185294	SPPL2C	17	43922256	43924438	1	protein_coding	162540	SPPL2C	2.29524703916312e-05	0.187394842	119	23.5	2.315e-11	rs4630591;rs199452;rs576904891;rs62064597;rs62054807	16
ENSG00000186868	MAPT	17	43971748	44105700	1	protein_coding	4137	MAPT	4.68264962282433e-05	2.01024275	787	26.8	1.53e-12	rs4630591;rs199452;rs576904891;rs62064597;rs62054807	16
ENSG00000256762	STH	17	44076616	44077060	1	protein_coding	246744	STH	0.00444466614164462	0.274193181	95	19.15	7.002e-12	rs4630591;rs199452;rs576904891;rs62064597;rs62054807	16
ENSG00000120071	KANSL1	17	44107282	44302733	-1	protein_coding	284058	KANSL1	0.999733505943003	0.058945245	1065	26.4	1.043e-12	rs4630591;rs199452;rs576904891;rs62064597;rs62054807	16
ENSG00000228696	ARL17B	17	44352150	44439130	-1	protein_coding	100506084	ARL17B	NA	-0.428243465	284	15.22	5.77e-11	rs4630591;rs199452;rs576904891;rs62064597;rs62054807;17:44355634:C:G	16
ENSG00000176681	LRRC37A	17	44370099	44415160	1	protein_coding	9884	LRRC37A	0.890487355591061	NA	65	15.22	5.77e-11	rs4630591;rs199452;rs576904891;rs62064597;rs62054807	16
ENSG00000238083	LRRC37A2	17	44588877	44633016	1	protein_coding	474170	LRRC37A2	NA	NA	6	19.03	NA	rs4630591;rs199452;rs576904891;rs62054807	16
ENSG00000185829	ARL17A	17	44594068	44657088	-1	protein_coding	51326	ARL17A	NA	-2.38258287	5	19.03	NA	rs4630591;rs199452;rs576904891;rs62054807	16
ENSG00000073969	NSF	17	44668035	44834830	1	protein_coding	4905	NSF	0.713682130183303	-0.566246769	60	17.18	6.46e-12	rs4630591;rs199452;rs576904891;rs199470	16
ENSG00000108379	WNT3	17	44839872	44910520	-1	protein_coding	7473	WNT3	0.946108101336536	-0.191110949	39	16.08	1.921e-11	rs199452;rs4630591;rs576904891	16
ENSG00000152214	RIT2	18	40323192	40695657	-1	protein_coding	6014	RIT2	0.0600485284509002	0.384223621	13	8.116	6.863e-09	rs4588066	17
